Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.004, ,0.1669, ,0.0043,
 ,0.0036, ,0.1701, ,0.004,
 ,0.0037, ,0.1696, ,0.0047,
 ,0.0041, ,0.1675, ,0.004,
 ,0.0037, ,0.1668, ,0.0041,
 ,0.0039, ,0.1666, ,0.004,
 ,0.0038, ,0.1677, ,0.0037,
 ,0.0039, ,0.1677, ,0.0038,
 ,0.0041, ,0.1665, ,0.0041,
 ,0.0036, ,0.1711, ,0.0037,
 ,0.0037, ,0.1685, ,0.0038,
 ,0.0042, ,0.1678, ,0.0037,
 ,0.0042, ,0.1677, ,0.0038,
 ,0.0042, ,0.1662, ,0.0038,
 ,0.0042, ,0.1665, ,0.0036,
 ,0.0044, ,0.1738, ,0.0038,
 ,0.0043, ,0.168, ,0.0043,
 ,0.0039, ,0.1679, ,0.0043,
 ,0.0038, ,0.1678, ,0.0039,
 ,0.0039, ,0.1673, ,0.0039,
 ,0.0037, ,0.1696, ,0.0039,
 ,0.0036, ,0.1663, ,0.0038,
 ,0.0037, ,0.1672, ,0.0041,
 ,0.0043, ,0.2117, ,0.0038,
 ,0.004, ,0.1713, ,0.004,
 ,0.0054, ,0.1777, ,0.0035,
 ,0.0037, ,0.1675, ,0.0036,
 ,0.0038, ,0.1667, ,0.0037,
 ,0.0036, ,0.1669, ,0.0039,
 ,0.0037, ,0.1676, ,0.0037,
 ,0.0037, ,0.1663, ,0.0036,
 ,0.0043, ,0.1658, ,0.0036,
 ,0.004, ,0.1661, ,0.0038,
 ,0.0036, ,0.1707, ,0.0036,
 ,0.0036, ,0.1731, ,0.0036,
 ,0.0042, ,0.1661, ,0.0037,
 ,0.0039, ,0.1661, ,0.0039,
 ,0.0039, ,0.1668, ,0.0037,
 ,0.0038, ,0.1686, ,0.0035,
 ,0.0043, ,0.1662, ,0.0037,
 ,0.004, ,0.1661, ,0.0038,
 ,0.0037, ,0.1685, ,0.0036,
 ,0.0037, ,0.1695, ,0.0036,
 ,0.0039, ,0.1667, ,0.0036,
 ,0.0039, ,0.1665, ,0.0038,
 ,0.0039, ,0.166, ,0.0038,
 ,0.0037, ,0.1662, ,0.0036,
 ,0.0042, ,0.1681, ,0.0037,
 ,0.0039, ,0.1655, ,0.0038,
 ,0.0035, ,0.1686, ,0.0035,
 ,0.0037, ,0.1714, ,0.0035,
 ,0.0042, ,0.1673, ,0.0038,
 ,0.0035, ,0.1664, ,0.0041,
 ,0.0036, ,0.1659, ,0.0037,
 ,0.0036, ,0.1655, ,0.0036,
 ,0.0042, ,0.3509, ,0.0036,
 ,0.0039, ,0.1728, ,0.0039,
 ,0.0036, ,0.1759, ,0.0037,
 ,0.0037, ,0.1937, ,0.0036,
 ,0.004, ,0.2275, ,0.0036,
 ,0.0041, ,0.1758, ,0.004,
 ,0.0039, ,0.1514, ,0.0038,
 ,0.0037, ,0.1405, ,0.0035,
 ,0.0042, ,0.2156, ,0.0037,
 ,0.004, ,0.1822, ,0.0039,
 ,0.0037, ,0.1723, ,0.0036,
 ,0.0041, ,0.1685, ,0.0035,
 ,0.0043, ,0.1712, ,0.0042,
 ,0.0037, ,0.1832, ,0.0045,
 ,0.0035, ,0.1684, ,0.0035,
 ,0.0037, ,0.1685, ,0.0039,
 ,0.0042, ,0.1679, ,0.0037,
 ,0.0045, ,0.1695, ,0.0038,
 ,0.0039, ,0.1695, ,0.0034,
 ,0.0038, ,0.1688, ,0.0035,
 ,0.0043, ,0.1672, ,0.0036,
 ,0.0037, ,0.1689, ,0.004,
 ,0.0036, ,0.1676, ,0.0038,
 ,0.0041, ,0.1672, ,0.0034,
 ,0.0048, ,0.1672, ,0.0036,
 ,0.0047, ,0.1677, ,0.0041,
 ,0.0041, ,0.1726, ,0.0034,
 ,0.0066, ,0.1671, ,0.0034,
 ,0.0041, ,0.1677, ,0.0036,
 ,0.0037, ,0.1682, ,0.004,
 ,0.0037, ,0.189, ,0.0037,
 ,0.0037, ,0.1723, ,0.0035,
 ,0.0042, ,0.1759, ,0.0042,
 ,0.0039, ,0.1694, ,0.0041,
 ,0.0037, ,0.1736, ,0.0039,
 ,0.0038, ,0.1674, ,0.0036,
