Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.0022, ,0.1312, ,0.0013,
 ,0.0023, ,0.1678, ,0.0013,
 ,0.0022, ,0.1795, ,0.0013,
 ,0.0022, ,0.1674, ,0.0013,
 ,0.0022, ,0.2248, ,0.0013,
 ,0.0022, ,0.1673, ,0.0014,
 ,0.0022, ,0.1839, ,0.0013,
 ,0.0022, ,0.1687, ,0.0014,
 ,0.0022, ,0.1662, ,0.0013,
 ,0.0022, ,0.1633, ,0.0013,
 ,0.0043, ,0.1638, ,0.0016,
 ,0.0022, ,0.165, ,0.0014,
 ,0.0021, ,0.2511, ,0.0013,
 ,0.0022, ,0.2078, ,0.0013,
 ,0.0022, ,0.168, ,0.0013,
 ,0.0022, ,0.1639, ,0.0013,
 ,0.0023, ,0.1655, ,0.0013,
 ,0.0022, ,0.1633, ,0.0014,
 ,0.0022, ,0.162, ,0.0014,
 ,0.0022, ,0.1634, ,0.0013,
 ,0.0021, ,0.167, ,0.0013,
 ,0.0022, ,0.1864, ,0.0013,
 ,0.0022, ,0.1623, ,0.0014,
 ,0.0021, ,0.1639, ,0.0015,
 ,0.0022, ,0.163, ,0.0015,
 ,0.0021, ,0.1682, ,0.0013,
 ,0.0021, ,0.171, ,0.0013,
 ,0.0022, ,0.1622, ,0.0014,
 ,0.0022, ,0.1663, ,0.0013,
 ,0.0022, ,0.1632, ,0.0014,
 ,0.0022, ,0.1631, ,0.0014,
 ,0.0021, ,0.162, ,0.0015,
 ,0.0023, ,0.1623, ,0.0013,
 ,0.0023, ,0.165, ,0.0014,
 ,0.0022, ,0.1674, ,0.0014,
 ,0.0022, ,0.1624, ,0.0014,
 ,0.0021, ,0.1632, ,0.0013,
 ,0.0024, ,0.1616, ,0.0013,
 ,0.0023, ,0.1626, ,0.0013,
 ,0.0022, ,0.1646, ,0.0014,
 ,0.0023, ,0.1619, ,0.0013,
 ,0.0022, ,0.1617, ,0.0014,
 ,0.0021, ,0.1632, ,0.0013,
 ,0.0022, ,0.1644, ,0.0014,
 ,0.0024, ,0.1646, ,0.0014,
 ,0.0022, ,0.162, ,0.0014,
 ,0.0022, ,0.1629, ,0.0014,
 ,0.0021, ,0.1614, ,0.0012,
 ,0.0022, ,0.1643, ,0.0013,
 ,0.0022, ,0.1626, ,0.0014,
 ,0.0022, ,0.1639, ,0.0013,
 ,0.0022, ,0.1634, ,0.0013,
 ,0.0021, ,0.1642, ,0.0014,
 ,0.0021, ,0.1635, ,0.0013,
 ,0.0022, ,0.1627, ,0.0014,
 ,0.0022, ,0.1696, ,0.0014,
 ,0.0021, ,0.1632, ,0.0014,
 ,0.0021, ,0.1648, ,0.0013,
 ,0.0021, ,0.1643, ,0.0013,
 ,0.0022, ,0.1639, ,0.0014,
 ,0.0022, ,0.1648, ,0.0013,
 ,0.0022, ,0.1629, ,0.0013,
 ,0.0021, ,0.1636, ,0.0013,
 ,0.0024, ,0.1616, ,0.0013,
 ,0.0032, ,0.1619, ,0.0013,
 ,0.0022, ,0.162, ,0.0013,
 ,0.0021, ,0.1637, ,0.0013,
 ,0.0022, ,0.163, ,0.0013,
 ,0.0022, ,0.1708, ,0.0012,
 ,0.0022, ,0.1633, ,0.0013,
 ,0.0022, ,0.1784, ,0.0014,
 ,0.0022, ,0.1841, ,0.0013,
 ,0.0022, ,0.164, ,0.0013,
 ,0.0022, ,0.1375, ,0.0014,
 ,0.0021, ,0.1272, ,0.0014,
 ,0.0022, ,0.1409, ,0.0013,
 ,0.0022, ,0.1926, ,0.0013,
 ,0.0022, ,0.1704, ,0.0012,
 ,0.0022, ,0.164, ,0.0014,
 ,0.0021, ,0.1635, ,0.0013,
 ,0.0021, ,0.2102, ,0.0013,
 ,0.0029, ,0.1648, ,0.0013,
 ,0.0027, ,0.1639, ,0.0014,
 ,0.0023, ,0.162, ,0.0014,
 ,0.0022, ,0.1672, ,0.0014,
 ,0.0022, ,0.1656, ,0.0014,
 ,0.0022, ,0.1638, ,0.0014,
 ,0.0022, ,0.1641, ,0.0013,
 ,0.0022, ,0.1624, ,0.0014,
 ,0.0023, ,0.1639, ,0.0013,
 ,0.0022, ,0.1623, ,0.0013,
 ,0.0022, ,0.1625, ,0.0013,
 ,0.0022, ,0.164, ,0.0019,
 ,0.0022, ,0.1626, ,0.0017,
 ,0.0021, ,0.163, ,0.0016,
 ,0.0021, ,0.1626, ,0.0014,
 ,0.0021, ,0.1645, ,0.0014,
 ,0.0022, ,0.1638, ,0.0015,
 ,0.0022, ,0.1723, ,0.0013,
 ,0.0021, ,0.1631, ,0.0013,
 ,0.002, ,0.1635, ,0.0014,
 ,0.0022, ,0.1646, ,0.0013,
 ,0.0022, ,0.1628, ,0.0014,
 ,0.0021, ,0.1635, ,0.0014,
 ,0.0028, ,0.1606, ,0.0013,
 ,0.0029, ,0.161, ,0.0014,
 ,0.0027, ,0.166, ,0.0013,
 ,0.0022, ,0.1643, ,0.0013,
 ,0.0022, ,0.1652, ,0.0013,
 ,0.0022, ,0.1636, ,0.0013,
 ,0.0021, ,0.1628, ,0.0014,
 ,0.0022, ,0.1633, ,0.0014,
 ,0.0029, ,0.1767, ,0.0013,
 ,0.0022, ,0.163, ,0.0014,
 ,0.0021, ,0.1621, ,0.0013,
 ,0.0022, ,0.1875, ,0.0013,
 ,0.0023, ,0.1668, ,0.0013,
 ,0.0023, ,0.1628, ,0.0013,
 ,0.0023, ,0.1617, ,0.0013,
 ,0.0022, ,0.162, ,0.0013,
 ,0.0022, ,0.1618, ,0.0013,
 ,0.0022, ,0.1643, ,0.0013,
 ,0.0022, ,0.1622, ,0.0013,
 ,0.0021, ,0.161, ,0.0014,
 ,0.0022, ,0.1638, ,0.0013,
 ,0.0022, ,0.1624, ,0.0014,
 ,0.0021, ,0.1616, ,0.0013,
 ,0.0022, ,0.1678, ,0.0014,
 ,0.0022, ,0.1616, ,0.0013,
